satellite_name,norad_id,line1,line2,timestamp,observer_lat,observer_lon,observer_alt,radar_range_km,radar_velocity_km_s,radar_cross_section_m2,optical_image_url,sun_angle_deg,moon_angle_deg,brightness,rotation_rate_deg_s,spectral_uv,spectral_visible,spectral_ir
SAT-910,910,1 00910U 20001A   25276.99970375  .0000326  00000+0  12345-3 0  9993,2 00910  53.0000  253.0000 838333 71.000  300.000 12.53844874 51448,2025-10-04T23:18:19.037437Z,-7.5472,162.7189,3.96,445.63,7.27,0.048,https://images-assets.nasa.gov/image/PIA04216/PIA04216~small.jpg,60.1,80.3,124.1,3.28,0.95,0.55,0.58
SAT-911,911,1 00911U 20001A   25276.86146145  .0000520  00000+0  12345-3 0  9994,2 00911  83.0000  335.0000 103272 347.000  94.000 5.25462895 13411,2025-10-04T23:11:19.037455Z,-22.6391,-116.91,3.57,425.77,7.61,0.026,https://images-assets.nasa.gov/image/PIA04225/PIA04225~medium.jpg,33.3,16.0,61.5,2.45,0.7,0.96,0.26
SAT-912,912,1 00912U 20001A   25276.18574873  .0000491  00000+0  12345-3 0  9994,2 00912  73.0000  33.0000 238299 287.000  172.000 9.74481780 96907,2025-10-05T00:20:19.037472Z,52.5602,80.8543,3.92,977.47,7.12,0.021,https://images-assets.nasa.gov/image/PIA14417/PIA14417~medium.jpg,70.9,23.3,56.8,4.48,0.51,0.68,0.03
SAT-913,913,1 00913U 20001A   25276.81488268  .0000792  00000+0  12345-3 0  9997,2 00913  69.0000  359.0000 998604 165.000  82.000 13.12552776 32720,2025-10-04T23:47:19.037489Z,-24.7108,-116.1713,4.79,889.3,7.53,0.096,https://images-assets.nasa.gov/image/PIA04220/PIA04220~small.jpg,23.8,78.5,74.7,4.03,0.81,0.57,0.66
SAT-914,914,1 00914U 20001A   25276.62082815  .0000860  00000+0  12345-3 0  9993,2 00914  85.0000  147.0000 426725 25.000  114.000 3.71226040 71494,2025-10-05T00:29:19.037506Z,79.8368,68.2858,2.97,634.99,7.89,0.044,https://images-assets.nasa.gov/image/PIA04220/PIA04220~small.jpg,70.2,48.4,178.5,3.42,0.49,0.78,0.82
SAT-915,915,1 00915U 20001A   25276.14450111  .0000772  00000+0  12345-3 0  9998,2 00915  45.0000  239.0000 695019 335.000  138.000 17.95301610 96683,2025-10-04T22:49:19.037524Z,50.7858,-138.1954,4.31,524.48,7.59,0.087,https://images-assets.nasa.gov/image/PIA04220/PIA04220~small.jpg,41.9,69.4,103.2,4.32,0.06,0.88,0.33
SAT-916,916,1 00916U 20001A   25276.71294272  .0000288  00000+0  12345-3 0  9996,2 00916  16.0000  340.0000 775526 135.000  99.000 10.80372306 83009,2025-10-04T23:07:19.037541Z,-42.0858,145.4477,3.06,1047.35,7.62,0.025,https://images-assets.nasa.gov/image/PIA04220/PIA04220~small.jpg,57.7,37.0,63.9,3.39,0.78,0.77,0.02
SAT-917,917,1 00917U 20001A   25276.52644452  .0000604  00000+0  12345-3 0  9993,2 00917  31.0000  59.0000 484855 355.000  244.000 10.98949646 66389,2025-10-05T00:05:19.037558Z,-20.9886,-123.1169,2.45,849.05,7.5,0.075,https://images-assets.nasa.gov/image/PIA04220/PIA04220~small.jpg,6.4,48.3,194.5,2.64,0.79,0.34,0.27
SAT-918,918,1 00918U 20001A   25276.14839044  .0000553  00000+0  12345-3 0  9999,2 00918  90.0000  67.0000 336198 43.000  65.000 15.65097913 84273,2025-10-04T23:30:19.037576Z,9.9866,93.2505,0.27,806.44,7.35,0.068,https://images-assets.nasa.gov/image/GSFC_20171208_Archive_e001465/GSFC_20171208_Archive_e001465~small.jpg,25.3,8.9,67.9,1.08,0.67,0.62,0.75
SAT-919,919,1 00919U 20001A   25276.58396786  .0000298  00000+0  12345-3 0  9991,2 00919  26.0000  178.0000 606594 285.000  355.000 19.40679715 96789,2025-10-04T23:35:19.037593Z,-1.9853,-173.5183,3.0,792.0,7.33,0.086,https://images-assets.nasa.gov/image/PIA04220/PIA04220~small.jpg,67.6,59.0,91.6,3.77,0.31,0.14,0.49
